Site,Domain,DA,Link Type,Category,Action,Status,Date Completed,Notes
Product Hunt,producthunt.com,91,Dofollow,Startup Directory,"Launch product page; coordinate launch day for upvotes. Prep screenshots, description, and maker comment in advance.",,,
Crunchbase,crunchbase.com,91,Nofollow,Business Profile,"Create company profile with team info, funding details, and website URL. Add logo and description.",,,
G2,g2.com,92,Dofollow,Software Review,"Create vendor profile. Add product screenshots, description, pricing. Ask early users to leave reviews.",,,
LinkedIn,linkedin.com,99,Nofollow,Social/Content,"Create company page with website URL, logo, description. Post launch announcement linking to site.",,,
There's An AI For That (TAAFT),theresanaiforthat.com,77,Dofollow,AI Directory,"Submit tool listing. Largest AI directory (9,500+ tools, 2M+ monthly visitors). Include all features.",,,
Toolify,toolify.ai,70,Dofollow,AI Directory,"Submit to NSFW AI tools category specifically. Include screenshots and detailed feature list.",,,
AlternativeTo,alternativeto.net,82,Dofollow,Startup Directory,"Add as alternative to Replika, Character.AI, Candy AI, CrushOn AI. Add tags and features.",,,
Wellfound (AngelList),wellfound.com,85,Dofollow,Business Profile,"Create startup profile with website link. Add team, tech stack, and company story.",,,
About.me,about.me,91,Dofollow,Profile Site,"Create founder profile with prominent website link and bio connecting to MyDreamGirlfriend.ai.",,,
X / Twitter,x.com,95,Nofollow,Social/Content,"Create company account. Add website in bio. Pin a tweet about the product with link.",,,
YouTube,youtube.com,100,Nofollow,Social/Content,"Create channel with website link in About. Upload product demo or walkthrough video.",,,
GitHub,github.com,96,Nofollow,Developer/Tech,"Create org profile. Link to site in org bio. Optionally create a public repo with link in README.",,,
AI Tool Hunt,aitoolhunt.com,50,Dofollow,AI Directory,"Submit to dedicated NSFW chatbot category. Highly relevant niche directory.",,,
Google Business Profile,google.com,100,N/A,Business Directory,"Create business listing. Essential for brand entity signals even for online-only businesses.",,,
SaaSHub,saashub.com,77,Dofollow,Startup Directory,"Create free listing. Position as alternative to Replika, Character.AI, Candy AI in categories.",,,
